relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,bug
org.jfree.chart.plot.dial.ArcDialFrame,1.56,10,19,39,7.84,5.2,10,8,25,25,40,25,3,22,18,207,130,151,96,2,40,2,22,15,2,0.379227053,1.2,9,30,3,2,72,30,346,55,53,50,35,0
org.jfree.chart.renderer.category.AreaRenderer,4.142857143,14,3,29,22.71428571,16.28571429,71,2,7,7,218,7,0,7,14,164,114,114,71,3,220,3,4,211,3,0.315784008,9.285714286,20,65,1,1,132,50,328,63,389,312,21,0
org.jfree.chart.renderer.AreaRendererEndType,2.5,4,2,10,8,4.5,5,5,4,4,13,4,2,2,2,42,18,28,16,1,13,1,2,9,1,0.171717172,0,1,0,3,1,0,0,0,0,13,13,0,0
org.jfree.chart.util.ArrayUtilities,5.166666667,10,1,31,16,9.666666667,0,0,1,6,17,6,1,5,8,98,58,77,55,1,19,1,6,11,1,0.142857143,0,3,0,0,0,0,0,0,0,17,17,0,0
org.jfree.chart.needle.ArrowNeedle,2.4,5,3,12,12.6,8.4,11,2,5,5,34,5,1,4,6,68,42,47,31,2,34,2,1,29,2,0.151515152,2.4,3,12,0,0,19,12,75,3,45,38,6,0
org.jfree.chart.util.AttributedStringUtilities,4.5,8,1,9,18,12.5,0,0,1,2,13,2,1,1,2,38,25,30,17,1,15,1,2,11,1,0.111111111,0,0,0,0,0,0,0,0,0,13,13,6,0
org.jfree.chart.axis.Axis,1.970588235,27,48,134,8.044117647,5.044117647,42,42,68,68,77,68,8,60,63,606,343,421,262,1,91,1,66,9,1,0.224785165,1.147058824,24,78,22,6,148,58,591,148,112,100,101,1
org.jfree.chart.event.AxisChangeEvent,1,1,2,2,3.5,1.5,3,1,2,2,20,2,0,2,1,10,3,7,3,3,24,3,2,18,3,0.166666667,0.5,1,1,1,1,2,1,2,0,20,20,3,0
org.jfree.chart.axis.AxisCollection,2,7,5,12,6.333333333,3.333333333,4,4,6,6,17,6,0,6,2,44,20,31,20,1,19,1,6,11,1,0.142857143,0.666666667,4,4,4,1,0,0,0,0,17,17,10,0
org.jfree.chart.entity.AxisLabelEntity,1.333333333,2,2,4,5.666666667,3,5,1,3,3,25,3,0,3,4,20,9,14,8,2,27,2,2,22,2,0.495974235,0.666666667,4,2,1,1,5,2,10,1,30,30,4,0
org.jfree.chart.axis.AxisLocation,3,6,3,18,9.833333333,5.666666667,6,6,5,6,15,6,2,4,3,71,34,46,31,1,15,1,4,9,1,0.193939394,0,3,0,4,1,0,0,0,0,15,15,0,0
org.jfree.chart.axis.AxisSpace,2.315789474,9,13,44,9.157894737,5.736842105,5,5,19,19,26,19,0,19,16,181,109,109,80,1,24,1,15,7,1,0.277462121,0.631578947,7,12,0,0,0,0,0,0,26,26,12,0
org.jfree.chart.axis.AxisState,1.307692308,5,12,17,3.923076923,1.615384615,3,3,13,13,24,13,0,13,10,56,21,38,21,1,26,1,13,11,1,0.154761905,0.307692308,2,4,1,1,0,0,0,0,24,24,4,0
org.jfree.chart.demo.BarChartDemo1,1,1,4,4,19.25,17.25,0,0,1,4,23,4,2,2,3,79,69,60,34,3,27,3,4,19,3,0.2,8.75,16,35,0,0,100,34,176,98,173,42,12,0
org.jfree.chart.renderer.category.BarRenderer,2.744680851,26,32,129,13.0212766,8.29787234,89,20,45,47,257,47,9,38,64,635,390,402,256,3,266,3,43,210,3,0.417215378,3.531914894,33,166,3,2,204,107,514,116,441,369,63,0
org.jfree.chart.renderer.category.BarRenderer3D,3.0625,11,8,49,24.875,19.1875,96,7,16,16,261,16,2,14,41,408,307,296,168,4,259,4,8,245,4,0.455910555,5.25,30,84,2,1,153,66,467,84,449,368,78,0
org.jfree.chart.ui.BasicProjectInfo,1.357142857,3,10,19,5.071428571,2.428571429,7,3,14,14,31,14,0,14,17,122,34,80,48,2,32,2,10,17,2,0.265512266,0.5,3,7,2,1,13,7,26,5,40,38,6,0
org.jfree.chart.block.BlockBorder,1.909090909,5,8,21,7.454545455,4.363636364,4,4,11,11,21,11,2,9,17,89,48,64,38,1,22,1,10,10,1,0.181818182,1,6,11,3,3,33,11,120,33,32,30,13,0
org.jfree.chart.block.BlockContainer,1.928571429,7,10,27,7.285714286,4.357142857,11,3,14,14,52,14,0,14,13,108,61,77,46,2,53,2,11,38,2,0.339205059,1.285714286,12,18,1,1,19,11,58,7,98,77,15,0
org.jfree.chart.block.BlockParams,1,1,7,7,3.285714286,1.285714286,3,3,7,7,18,7,0,7,3,28,9,20,9,1,20,1,7,11,1,0.145833333,0,0,0,0,0,0,0,0,0,18,18,0,0
