relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,ADD,MOD,DEL,bug
math.stat.correlation.SpearmansCorrelation,1.3,3,8,13,4.7,2.5,3,3,10,10,21,10,1,9,9,52,25,38,22,1,23,1,10,11,1,0.151515152,2,9,20,20,11,65,20,58,30,4,11,3,0
math.analysis.interpolation.SplineInterpolator,7,7,0,7,49,38,0,0,1,1,12,1,0,1,2,51,38,46,30,1,14,1,1,11,1,0.083333333,5,7,5,15,5,40,15,32,17,3,12,0,0
math.analysis.function.Sqrt,1,1,3,3,3,1,0,0,3,3,14,3,0,3,2,12,3,7,3,1,16,1,3,11,1,0.125,1.333333333,4,4,5,3,12,5,27,17,7,1,0,0
math.random.StableRandomGenerator,5.5,6,0,11,29,21,4,4,2,2,13,2,0,2,3,64,42,38,24,1,15,1,2,11,1,0.111111111,16,5,32,54,23,970,54,40,22,64,0,0,0
math.stat.descriptive.moment.StandardDeviation,1,1,17,17,3.529411765,1.294117647,3,2,16,17,41,17,0,17,19,71,22,42,21,3,40,3,12,24,3,0.421573828,1.411764706,7,24,48,24,118,45,96,69,2,5,0,0
math.stat.StatUtils,1.258064516,4,28,39,4.967741935,1.870967742,10,10,1,31,42,31,1,30,66,166,58,108,52,1,44,1,31,11,1,0.161458333,1.258064516,18,39,67,24,193,67,107,58,25,26,0,0
math.stat.descriptive.StatisticalSummaryValues,1.181818182,3,10,13,6.272727273,4,7,7,11,11,19,11,0,11,7,82,44,57,34,1,18,1,8,8,1,0.239057239,1.181818182,6,13,32,13,26,32,27,23,0,0,0,0
math.analysis.function.StepFunction,3.5,4,0,7,16,10,2,2,2,2,13,2,0,2,3,36,20,22,15,1,15,1,2,11,1,0.111111111,3,4,6,11,6,12,11,33,18,3,5,0,0
math.ode.sampling.StepNormalizer,2,8,6,18,10.11111111,6.555555556,9,9,9,9,20,9,3,6,22,102,59,69,47,1,22,1,9,11,1,0.15,2.888888889,9,26,10,5,33,10,26,25,6,11,0,0
math.ode.sampling.StepNormalizerBounds,1,1,5,5,2,0.8,8,6,5,5,22,5,1,4,3,18,4,10,4,2,25,2,5,17,2,0.185185185,0,1,0,0,0,0,0,22,22,0,0,0,0
math.ode.sampling.StepNormalizerMode,1,1,2,2,0,0,4,2,2,2,19,2,0,2,1,4,0,1,0,2,22,2,2,17,2,0.148148148,0,1,0,0,0,0,0,19,19,0,0,0,0
math.stat.correlation.StorelessBivariateCovariance,1.4,3,4,7,6.2,3.8,5,5,5,5,16,5,0,5,3,38,19,28,15,1,18,1,5,11,1,0.138888889,0.4,2,2,5,1,4,5,22,17,38,0,0,0
math.stat.correlation.StorelessCovariance,1.727272727,4,7,19,5.272727273,2.181818182,4,2,11,11,33,11,4,7,14,64,24,50,28,2,34,2,9,22,2,0.561111111,0.636363636,7,7,13,7,42,13,94,47,64,0,0,0
math.geometry.euclidean.threed.SubLine,1.666666667,4,4,10,6.166666667,3.5,2,2,5,6,17,6,1,5,9,41,21,29,11,1,19,1,6,11,1,0.142857143,3.833333333,8,23,43,23,51,43,76,32,3,4,0,0
math.geometry.euclidean.twod.SubLine,2.222222222,5,5,20,8.888888889,6.222222222,2,0,8,9,28,9,2,7,13,85,56,56,17,2,28,2,6,19,2,0.235930736,8,17,72,120,63,310,99,112,56,3,4,0,0
math.geometry.euclidean.oned.SubOrientedPoint,1.6,3,3,8,4.2,1.8,2,0,5,5,23,5,1,4,6,27,9,13,5,2,22,2,1,18,2,0.255050505,2.4,7,12,13,7,17,8,51,29,4,0,0,0
math.geometry.euclidean.threed.SubPlane,3.25,6,2,13,15.5,11.25,2,0,4,4,23,4,1,3,6,67,45,41,14,2,23,2,1,19,2,0.156565657,13.25,15,53,79,42,174,70,91,43,3,8,0,0
math.analysis.function.Subtract,1,1,1,1,3,1,0,0,1,1,12,1,0,1,2,5,1,3,1,1,14,1,1,11,1,0.083333333,0,0,0,0,0,0,0,12,12,0,1,0,0
math.stat.descriptive.summary.Sum,1.363636364,3,9,15,5.454545455,2.727272727,4,3,10,11,36,11,0,11,13,70,30,49,29,3,36,3,7,25,3,0.348060345,0.545454545,5,6,18,6,69,4,62,49,2,4,0,0
math.stat.descriptive.summary.SumOfLogs,1.222222222,3,8,11,5,2.555555556,4,3,8,9,34,9,0,9,7,55,23,38,22,3,34,3,5,25,3,0.337643678,0.777777778,6,7,16,7,39,8,62,48,1,2,0,0
math.stat.descriptive.summary.SumOfSquares,1.222222222,3,8,11,5,2.555555556,4,3,8,9,34,9,0,9,7,55,23,38,22,3,34,3,5,25,3,0.337643678,0.555555556,5,5,12,5,35,4,60,47,1,2,0,0
math.stat.descriptive.SummaryStatistics,1.538461538,12,33,60,7.128205128,4.358974359,19,19,38,39,47,39,1,38,13,302,170,206,140,1,48,1,36,8,1,0.253071253,1.820512821,21,71,91,38,135,91,90,69,21,39,9,0
math.linear.SymmLQ,1.25,4,11,15,11.66666667,5.666666667,8,7,12,12,30,12,0,12,40,429,68,304,174,3,28,3,6,18,3,0.575396825,4.166666667,17,50,101,50,338,91,101,56,429,0,0,0
math.stat.descriptive.SynchronizedDescriptiveStatistics,1,1,15,15,3.8,1.4,16,1,14,15,66,15,0,15,8,71,21,38,20,2,59,2,5,51,2,0.239829994,1,6,15,24,14,89,4,120,84,1,3,0,0
math.stat.descriptive.SynchronizedMultivariateSummaryStatistics,1,1,31,31,3.225806452,1,12,1,31,31,40,31,0,31,11,134,31,64,31,2,13,2,1,9,2,0.367521368,1,6,31,42,31,152,0,111,76,7,8,0,0
math.random.SynchronizedRandomGenerator,1,1,12,12,3,1,1,1,12,12,23,12,0,12,6,39,12,26,12,1,25,1,12,11,1,0.153846154,0.916666667,0,11,0,0,0,0,23,23,39,0,0,0
math.stat.descriptive.SynchronizedSummaryStatistics,1,1,36,36,3.555555556,1.166666667,20,1,35,36,50,36,0,36,13,164,42,80,41,2,21,2,4,14,2,0.409661836,1,6,36,50,36,215,4,126,94,13,9,0,0
math.distribution.TDistribution,1.428571429,3,10,20,6.071428571,3.142857143,9,4,14,14,34,14,1,13,8,92,44,54,29,2,36,2,13,20,2,0.555555556,0.785714286,9,11,22,10,74,20,89,46,89,2,0,0
math.stat.inference.TTest,1.166666667,3,27,35,7.866666667,3.7,0,0,30,30,41,30,10,20,85,238,111,107,65,1,43,1,30,11,1,0.161290323,2.5,13,75,95,41,159,95,111,52,171,66,0,0
