relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
math3\analysis\polynomials\PolynomialFunctionLagrangeForm.java,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm,27,4,4,10,10,12,129,118,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0.277777777777778,0.428571428571429,0.714285714285714,30,0.476190476190476,30,15,4,1,0.722222222222222,0.6,0.422222222222222,0.35,0.666666666666667,0.666666666666667,-0.500000000000001,0.380952380952381,0,0,0,0,6,0,0,0,0,15,0,4,15,0,0,1,0,3,4,23,0
math3\analysis\polynomials\PolynomialFunctionNewtonForm.java,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm,18,4,4,10,10,9,81,70,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.2,0.444444444444444,0.714285714285714,1,15,0.714285714285714,24,3,3,1,0.666666666666667,0.659259259259259,0.555555555555556,0.4,0.777777777777778,0.777777777777778,-0.333333333333333,0.619047619047619,0,0,0,0,4,0,0,0,0,18,0,8,18,0,0,1,2,1,8,32,0
math3\analysis\polynomials\PolynomialSplineFunction.java,org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction,18,3,3,8,8,4,74,55,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.125,0.714285714285714,1,1,4,1,7,0,2,1,0.333333333333333,0.75,0.785714285714286,0.708333333333333,1,1,0,1,0,0,0,0,8,1,0,0,0,27,0,11,27,0,1,3,4,4,11,49,0
math3\analysis\polynomials\PolynomialsUtils.java,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils,19,5,5,9,9,16,182,133,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.288888888888889,-0.0714285714285714,0.666666666666667,0.666666666666667,25,0,36,36,9,3,1,0.677777777777778,0.166666666666667,0.111111111111111,0,0,-0.0399999999999999,0,0,0,0,0,6,5,0,0,0,48,0,21,48,0,5,0,8,0,21,43,0
math3\analysis\solvers\AbstractDifferentiableUnivariateSolver.java,org.apache.commons.math3.analysis.solvers.AbstractDifferentiableUnivariateSolver,4,11,1,27,4,10,24,12,1,1,1,0,0,0,4,23,0,1,1,1,1,0,1,1,0,0.5,-0.666666666666667,undefined,undefined,0,undefined,5,4,3,3,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.333333333333333,0.333333333333333,1,undefined,0,0,4,127.996183531039,3,0,0,0,2,14,14,4,0,0,0,0,0,0,0,53,0
math3\analysis\solvers\AbstractPolynomialSolver.java,org.apache.commons.math3.analysis.solvers.AbstractPolynomialSolver,5,11,1,28,5,11,26,13,1,1,1,0,0,0,5,23,0,1,1,1,1,0,1,1,0,0.4,-0.5,undefined,undefined,0,undefined,9,8,4,4,0.75,0.6,0.1,0.4,0.25,0.25,1,undefined,0,0,4,144.052413992501,1,1,0,0,4,16,15,5,1,0,1,0,1,0,1,55,0
math3\analysis\solvers\AbstractUnivariateDifferentiableSolver.java,org.apache.commons.math3.analysis.solvers.AbstractUnivariateDifferentiableSolver,4,11,1,27,4,10,23,12,1,1,1,0,0,0,4,23,0,1,1,1,1,0,1,1,0,0.5,-0.666666666666667,undefined,undefined,0,undefined,5,4,3,3,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.333333333333333,0.333333333333333,1,undefined,0,0,4,137.072051727871,2,0,0,0,2,19,14,5,5,0,0,0,1,0,1,71,0
math3\analysis\solvers\AbstractUnivariateSolver.java,org.apache.commons.math3.analysis.solvers.AbstractUnivariateSolver,3,10,0,26,3,6,16,7,1,2,1,0,0,0,3,23,0,1,8,11,1,0,0,0,0,1,-2,undefined,undefined,0,undefined,3,3,3,3,undefined,1,0,undefined,0,0,1,undefined,0,0,3,830.741170730285,0,0,0,0,20,9,9,3,0,0,0,0,0,0,0,52,0
math3\analysis\solvers\AllowedSolution.java,org.apache.commons.math3.analysis.solvers.AllowedSolution,2,5,5,2,2,1,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,7,0,0,0,2,0
math3\analysis\solvers\BaseAbstractUnivariateSolver.java,org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver,24,10,10,23,23,37,122,68,0,3,0,11,0,11,23,0,0,0,4,18,0,0,7,0,7,0.239130434782609,0.012987012987013,0.218181818181818,0.381818181818182,9,0.381818181818182,234,215,10,6,0.940909090909091,0.699604743083004,0.0988142292490119,0.1,0.5,0.272727272727273,-0.338842975206612,0.218181818181818,0,0,0,11254.4969379768,9,2,0,0,117,30,0,13,30,0,2,0,5,0,13,49,0
math3\analysis\solvers\BaseSecantSolver.java,org.apache.commons.math3.analysis.solvers.BaseSecantSolver,36,13,3,32,7,25,143,82,2,1,2,1,1,0,6,25,1,2,3,3,1,0.0625,1,1,0,0.485714285714286,0.4,1,1,0,1,11,1,3,1,0.666666666666667,0.504761904761905,0.571428571428571,0.428571428571429,1,0.166666666666667,-0.619047619047619,1,0,0,13,2278.0802894424,6,2,0,0,12,42,29,21,13,0,2,0,5,0,8,64,0
math3\analysis\solvers\BisectionSolver.java,org.apache.commons.math3.analysis.solvers.BisectionSolver,7,11,1,29,4,3,38,26,2,0,2,1,1,0,3,25,1,2,0,0,1,0.0689655172413793,0,0,0,0.5,-0.666666666666667,undefined,undefined,0,undefined,6,6,4,3,1,0.333333333333333,0.166666666666667,0.25,0,0,0,undefined,0,0,8,0,3,0,0,0,0,23,15,11,8,0,0,0,0,0,3,58,0
math3\analysis\solvers\BracketingNthOrderBrentSolver.java,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver,41,16,6,34,9,25,216,152,2,0,2,1,1,0,8,25,1,2,0,0,1,0.0588235294117647,1,1,0,0.377777777777778,0.464285714285714,0.333333333333333,0.333333333333333,6,0.333333333333333,17,0,3,1,0.8125,0.6,0.583333333333333,0.277777777777778,0.875,0.25,-0.12,0.333333333333333,0,0,16,0,9,1,0,0,0,90,38,33,52,0,1,0,2,1,17,68,0
math3\analysis\solvers\BrentSolver.java,org.apache.commons.math3.analysis.solvers.BrentSolver,21,11,1,31,6,10,126,88,2,0,2,1,1,0,5,25,1,2,0,0,1,0.0645161290322581,0,0,0,0.666666666666667,-0.3,undefined,undefined,10,undefined,15,15,6,4,1,0.466666666666667,0.133333333333333,0.166666666666667,0,0,0,undefined,0,0,14,0,5,0,0,0,0,61,27,29,34,0,0,0,0,3,15,62,0
math3\analysis\solvers\IllinoisSolver.java,org.apache.commons.math3.analysis.solvers.IllinoisSolver,4,13,0,36,4,6,17,9,3,0,3,0,0,0,4,32,0,3,0,0,1,0,0,0,0,0.75,-1,undefined,undefined,0,undefined,6,6,4,4,undefined,0.5,0,undefined,0,0,0,undefined,0,0,4,0,0,0,0,0,0,15,15,4,0,0,0,0,0,0,0,68,0
