relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
jscomp.regex.RegExpTree,1.9375,9,12,31,27.6875,21.5625,12,12,13,16,24,16,3,13,11,1483,345,964,627,1,35,1,13,8,1,0.245670996,0.4375,13,7,12,4,1,1,8,1,52,25,11,1483,0,0,0
jscomp.RemoveTryCatch,1,1,2,2,3.5,1.5,2,2,2,2,13,2,0,2,3,60,3,41,27,1,15,1,2,11,1,0.111111111,0.5,5,1,2,2,4,1,3,4,53,14,5,2,3,0,0
jscomp.RemoveUnusedClassProperties,3.333333333,7,2,20,12,8,4,4,6,6,17,6,2,4,10,82,48,50,32,1,19,1,6,11,1,0.142857143,6.333333333,10,38,3,3,43,35,126,43,56,38,19,82,0,0,0
jscomp.RemoveUnusedNames,2,4,2,6,8,4.333333333,3,3,3,3,14,3,1,2,5,31,13,21,10,1,16,1,3,11,1,0.125,2.333333333,9,7,2,2,8,5,15,8,104,19,9,5,3,0,0
jscomp.RemoveUnusedPrototypeProperties,3.4,8,3,17,13.6,8.8,5,5,5,5,16,5,2,3,8,79,44,51,32,1,18,1,5,11,1,0.138888889,1.4,6,7,3,3,16,7,62,16,95,23,16,44,4,0,0
jscomp.RemoveUnusedVars,5,21,3,70,20.35714286,14.5,13,13,13,14,25,14,11,3,21,560,203,384,248,1,27,1,14,11,1,0.155555556,7.5,15,105,9,6,131,92,440,131,158,66,58,416,90,13,2
jscomp.RenameLabels,1,1,3,3,4.666666667,1.666666667,3,3,3,3,14,3,0,3,6,127,5,84,42,1,16,1,3,11,1,0.125,0.666666667,6,2,2,2,5,2,5,5,55,16,7,20,4,2,1
jscomp.RenameProperties,3.625,10,2,29,16.25,10.5,14,14,8,8,19,8,3,5,18,332,84,222,139,1,21,1,8,11,1,0.148148148,4.75,17,38,11,8,38,19,93,38,89,35,40,76,41,6,0
jscomp.RenamePrototypes,4.25,9,1,17,18.5,12.5,9,9,4,4,15,4,1,3,7,245,50,167,106,1,17,1,4,11,1,0.133333333,7.25,12,29,7,5,28,14,70,28,73,28,23,6,15,3,0
jscomp.RenameVars,3.545454545,9,4,39,16,10.72727273,21,21,11,11,22,11,8,3,20,314,118,221,136,1,24,1,11,11,1,0.152777778,3.545454545,14,39,13,7,51,25,136,51,80,38,39,51,41,10,0
